prawn_#,date,site,sex,weight(g),total_length(mm),carapace_length(mm),abdominal_length(mm),egg_length(mm),egg_width(mm),egg_depth(mm),egg volume (mm^3),total_length_raw (mm)
77,08-11-24,wizard,2,40,131.5,38.1,95.1,44.4,15.2,13,8773.44,131.5
78,08-11-24,wizard,0,20,104,32.1,81.6,na,na,na,na,104
79,08-11-24,wizard,0,25,112.7,32.4,81.1,na,na,na,na,112.7
80,08-11-24,wizard,0,15,115.5,33.1,80.8,na,na,na,na,115.5
81,08-11-24,wizard,0,10,85.1,24.4,62.2,na,na,na,na,85.1
82,08-11-24,wizard,0,15,92.1,27.6,68.6,na,na,na,na,92.1
83,08-11-24,wizard,0,15,110.7,33.2,81.4,na,na,na,na,110.7
84,08-11-24,wizard,0,30,118.6,34.5,85.5,na,na,na,na,118.6
85,08-11-24,wizard,0,20,109.6,32,78.7,na,na,na,na,109.6
86,08-11-24,wizard,0,25,123.1,35,88.3,na,na,na,na,123.1
87,08-11-24,wizard,0,25,112.5,32.9,82.1,na,na,na,na,112.5
88,08-11-24,wizard,0,20,115.1,33.3,82.1,na,na,na,na,115.1
89,08-11-24,wizard,0,25,119.4,34,86.1,na,na,na,na,119.4
90,08-11-24,wizard,0,15,98.6,29,74.6,na,na,na,na,98.6
91,08-11-24,wizard,0,20,104.3,29.3,74.6,na,na,na,na,104.3
92,08-11-24,wizard,0,25,120.1,34.1,85,na,na,na,na,120.1
